#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|              blum_blum_shub.txt|  1.30e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.54476268|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.77437390|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.55317922|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.32451083|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.79996925|  PASSED  
        diehard_opso|   0|   2097152|     100|0.96656200|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.23599559|  PASSED  
         diehard_dna|   0|   2097152|     100|0.61076518|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.99035287|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.16272150|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.11489823|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.90172787|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.61271422|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.75016441|  PASSED  
        diehard_sums|   0|       100|     100|0.00094081|   WEAK   
        diehard_runs|   0|    100000|     100|0.67992459|  PASSED  
        diehard_runs|   0|    100000|     100|0.87942666|  PASSED  
       diehard_craps|   0|    200000|     100|0.26237955|  PASSED  
       diehard_craps|   0|    200000|     100|0.83940533|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.75346509|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.47306665|  PASSED  
         sts_monobit|   1|    100000|     100|0.48415973|  PASSED  
            sts_runs|   2|    100000|     100|0.91538193|  PASSED  
          sts_serial|   1|    100000|     100|0.90002411|  PASSED  
          sts_serial|   2|    100000|     100|0.93427789|  PASSED  
          sts_serial|   3|    100000|     100|0.82858032|  PASSED  
          sts_serial|   3|    100000|     100|0.61419654|  PASSED  
          sts_serial|   4|    100000|     100|0.56215547|  PASSED  
          sts_serial|   4|    100000|     100|0.29859917|  PASSED  
          sts_serial|   5|    100000|     100|0.73604460|  PASSED  
          sts_serial|   5|    100000|     100|0.97955324|  PASSED  
          sts_serial|   6|    100000|     100|0.89662097|  PASSED  
          sts_serial|   6|    100000|     100|0.24013763|  PASSED  
          sts_serial|   7|    100000|     100|0.82251206|  PASSED  
          sts_serial|   7|    100000|     100|0.20735547|  PASSED  
          sts_serial|   8|    100000|     100|0.42957669|  PASSED  
          sts_serial|   8|    100000|     100|0.76842677|  PASSED  
          sts_serial|   9|    100000|     100|0.10806223|  PASSED  
          sts_serial|   9|    100000|     100|0.83085910|  PASSED  
          sts_serial|  10|    100000|     100|0.06708335|  PASSED  
          sts_serial|  10|    100000|     100|0.72671663|  PASSED  
          sts_serial|  11|    100000|     100|0.74191900|  PASSED  
          sts_serial|  11|    100000|     100|0.80503437|  PASSED  
          sts_serial|  12|    100000|     100|0.11472167|  PASSED  
          sts_serial|  12|    100000|     100|0.77437142|  PASSED  
          sts_serial|  13|    100000|     100|0.74434679|  PASSED  
          sts_serial|  13|    100000|     100|0.78401333|  PASSED  
          sts_serial|  14|    100000|     100|0.84266485|  PASSED  
          sts_serial|  14|    100000|     100|0.77119995|  PASSED  
          sts_serial|  15|    100000|     100|0.77069030|  PASSED  
          sts_serial|  15|    100000|     100|0.83161297|  PASSED  
          sts_serial|  16|    100000|     100|0.84775918|  PASSED  
          sts_serial|  16|    100000|     100|0.94078805|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.69714495|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.43552796|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.42553957|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.11297332|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.07212516|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.95978173|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.82195598|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.99163489|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.51543400|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.99304661|  PASSED  
