#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|            mersenne_twister.txt|  2.33e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.97326285|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.30201414|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.14516508|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.10975575|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.00711657|  PASSED  
        diehard_opso|   0|   2097152|     100|0.99326030|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.07431842|  PASSED  
         diehard_dna|   0|   2097152|     100|0.66593546|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.87178848|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.05577093|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.60921267|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.83146936|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.78385608|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.80987462|  PASSED  
        diehard_sums|   0|       100|     100|0.06333933|  PASSED  
        diehard_runs|   0|    100000|     100|0.04920660|  PASSED  
        diehard_runs|   0|    100000|     100|0.98135426|  PASSED  
       diehard_craps|   0|    200000|     100|0.87161969|  PASSED  
       diehard_craps|   0|    200000|     100|0.89633850|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.22467657|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.76179241|  PASSED  
         sts_monobit|   1|    100000|     100|0.60561804|  PASSED  
            sts_runs|   2|    100000|     100|0.99788518|   WEAK   
          sts_serial|   1|    100000|     100|0.82704031|  PASSED  
          sts_serial|   2|    100000|     100|0.01481566|  PASSED  
          sts_serial|   3|    100000|     100|0.56266764|  PASSED  
          sts_serial|   3|    100000|     100|0.63420591|  PASSED  
          sts_serial|   4|    100000|     100|0.97353568|  PASSED  
          sts_serial|   4|    100000|     100|0.38247614|  PASSED  
          sts_serial|   5|    100000|     100|0.44100641|  PASSED  
          sts_serial|   5|    100000|     100|0.22474680|  PASSED  
          sts_serial|   6|    100000|     100|0.07179457|  PASSED  
          sts_serial|   6|    100000|     100|0.26357114|  PASSED  
          sts_serial|   7|    100000|     100|0.50185537|  PASSED  
          sts_serial|   7|    100000|     100|0.55543210|  PASSED  
          sts_serial|   8|    100000|     100|0.02645376|  PASSED  
          sts_serial|   8|    100000|     100|0.42366218|  PASSED  
          sts_serial|   9|    100000|     100|0.35322192|  PASSED  
          sts_serial|   9|    100000|     100|0.76481464|  PASSED  
          sts_serial|  10|    100000|     100|0.16423231|  PASSED  
          sts_serial|  10|    100000|     100|0.49970431|  PASSED  
          sts_serial|  11|    100000|     100|0.28987290|  PASSED  
          sts_serial|  11|    100000|     100|0.62250506|  PASSED  
          sts_serial|  12|    100000|     100|0.43227203|  PASSED  
          sts_serial|  12|    100000|     100|0.08241194|  PASSED  
          sts_serial|  13|    100000|     100|0.62350726|  PASSED  
          sts_serial|  13|    100000|     100|0.63046396|  PASSED  
          sts_serial|  14|    100000|     100|0.53571007|  PASSED  
          sts_serial|  14|    100000|     100|0.14885064|  PASSED  
          sts_serial|  15|    100000|     100|0.48923416|  PASSED  
