#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                 numpy_intel.txt|  2.32e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.82643902|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.26225121|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.45062505|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.69656458|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.78104859|  PASSED  
        diehard_opso|   0|   2097152|     100|0.04620354|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.29519356|  PASSED  
         diehard_dna|   0|   2097152|     100|0.87903761|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.68429480|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.03886387|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.28239841|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.75976854|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.68147780|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.39471898|  PASSED  
        diehard_sums|   0|       100|     100|0.05197426|  PASSED  
        diehard_runs|   0|    100000|     100|0.26937179|  PASSED  
        diehard_runs|   0|    100000|     100|0.98204862|  PASSED  
       diehard_craps|   0|    200000|     100|0.39800016|  PASSED  
       diehard_craps|   0|    200000|     100|0.92175877|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.68494784|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.96409130|  PASSED  
         sts_monobit|   1|    100000|     100|0.70123726|  PASSED  
            sts_runs|   2|    100000|     100|0.62628488|  PASSED  
          sts_serial|   1|    100000|     100|0.03414175|  PASSED  
          sts_serial|   2|    100000|     100|0.64378611|  PASSED  
          sts_serial|   3|    100000|     100|0.72186536|  PASSED  
          sts_serial|   3|    100000|     100|0.15866328|  PASSED  
          sts_serial|   4|    100000|     100|0.51642824|  PASSED  
          sts_serial|   4|    100000|     100|0.37734032|  PASSED  
          sts_serial|   5|    100000|     100|0.26616786|  PASSED  
          sts_serial|   5|    100000|     100|0.17936464|  PASSED  
          sts_serial|   6|    100000|     100|0.79200407|  PASSED  
          sts_serial|   6|    100000|     100|0.99619517|   WEAK   
          sts_serial|   7|    100000|     100|0.98602566|  PASSED  
          sts_serial|   7|    100000|     100|0.45427953|  PASSED  
          sts_serial|   8|    100000|     100|0.43407792|  PASSED  
          sts_serial|   8|    100000|     100|0.17715927|  PASSED  
          sts_serial|   9|    100000|     100|0.97194857|  PASSED  
          sts_serial|   9|    100000|     100|0.77225017|  PASSED  
          sts_serial|  10|    100000|     100|0.92460562|  PASSED  
          sts_serial|  10|    100000|     100|0.98639051|  PASSED  
          sts_serial|  11|    100000|     100|0.82084257|  PASSED  
          sts_serial|  11|    100000|     100|0.75383768|  PASSED  
          sts_serial|  12|    100000|     100|0.54292423|  PASSED  
          sts_serial|  12|    100000|     100|0.50921339|  PASSED  
          sts_serial|  13|    100000|     100|0.73534375|  PASSED  
          sts_serial|  13|    100000|     100|0.45478468|  PASSED  
          sts_serial|  14|    100000|     100|0.67599845|  PASSED  
          sts_serial|  14|    100000|     100|0.12306703|  PASSED  
          sts_serial|  15|    100000|     100|0.74810025|  PASSED  
          sts_serial|  15|    100000|     100|0.87238340|  PASSED  
          sts_serial|  16|    100000|     100|0.65542177|  PASSED  
          sts_serial|  16|    100000|     100|0.27160144|  PASSED  
