#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                systemrandom.txt|  2.25e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.98460444|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.95667660|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.84851288|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.61033331|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.97436769|  PASSED  
        diehard_opso|   0|   2097152|     100|0.94917993|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.14758225|  PASSED  
         diehard_dna|   0|   2097152|     100|0.39217429|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.55601791|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.52053662|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.15298494|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64285881|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.27893338|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.48785088|  PASSED  
        diehard_sums|   0|       100|     100|0.01914292|  PASSED  
        diehard_runs|   0|    100000|     100|0.96251493|  PASSED  
        diehard_runs|   0|    100000|     100|0.50392273|  PASSED  
       diehard_craps|   0|    200000|     100|0.80385880|  PASSED  
       diehard_craps|   0|    200000|     100|0.50889701|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.52635158|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.05114786|  PASSED  
         sts_monobit|   1|    100000|     100|0.58521392|  PASSED  
            sts_runs|   2|    100000|     100|0.40762381|  PASSED  
          sts_serial|   1|    100000|     100|0.18029637|  PASSED  
          sts_serial|   2|    100000|     100|0.52025364|  PASSED  
          sts_serial|   3|    100000|     100|0.80811421|  PASSED  
          sts_serial|   3|    100000|     100|0.99235632|  PASSED  
          sts_serial|   4|    100000|     100|0.27750222|  PASSED  
          sts_serial|   4|    100000|     100|0.60476205|  PASSED  
          sts_serial|   5|    100000|     100|0.22315993|  PASSED  
          sts_serial|   5|    100000|     100|0.83320486|  PASSED  
